api,nranks,xfersize[MiB],blocksize[MiB],totalsize[MiB],operation,min[MiB/sec],max[MiB/sec],mean[MiB/sec],std[MiB/sec]
NCMPI,1,128.0,128.0,128.0,write,504.07,2691.23,1744.98,5.41
NCMPI,1,128.0,128.0,128.0,read,708.88,2677.25,1943.27,5.28
POSIX,32,64.0,128.0,4096.0,write,9312.11,27922.54,18360.27,90.2
POSIX,32,64.0,128.0,4096.0,read,29947.96,53376.91,40469.74,103.13
POSIX,16,64.0,64.0,1024.0,write,1542.14,11505.52,8459.98,56.3
POSIX,16,64.0,64.0,1024.0,read,6473.86,22305.31,14301.46,71.59
MPIIO,32,128.0,512.0,16384.0,write,81840.03,90758.66,87160.24,22.32
MPIIO,32,128.0,512.0,16384.0,read,29139.1,40587.48,37007.5,37.06
POSIX,4,16.0,16.0,64.0,write,1105.29,2280.9,1550.85,23.07
POSIX,4,16.0,16.0,64.0,read,1248.32,5859.26,3573.86,84.53
MPIIO,2,128.0,128.0,256.0,write,5694.12,6112.76,5949.33,0.88
MPIIO,2,128.0,128.0,256.0,read,2278.84,2946.31,2655.72,2.18
Z5,32,32.0,256.0,8192.0,write,10649.02,12334.98,11723.73,14.51
Z5,32,32.0,256.0,8192.0,read,2292.38,2577.88,2497.56,2.7
NCMPI,64,16.0,16.0,1024.0,write,384.25,912.76,677.81,10.13
NCMPI,64,16.0,16.0,1024.0,read,649.11,4237.85,1654.45,60.58
MPIIO,64,64.0,64.0,4096.0,write,94223.58,122537.17,108180.15,123.71
MPIIO,64,64.0,64.0,4096.0,read,9939.34,43109.02,30797.06,179.9
Z5,2,256.0,512.0,1024.0,write,948.54,1151.9,1123.57,0.23
Z5,2,256.0,512.0,1024.0,read,178.34,180.0,179.33,0.0
POSIX,1,256.0,256.0,256.0,write,970.67,2329.59,1846.05,1.54
POSIX,1,256.0,256.0,256.0,read,3383.29,3778.37,3724.35,0.44
Z5,1,8.0,16.0,16.0,write,83.34,574.57,519.72,18.19
Z5,1,8.0,16.0,16.0,read,75.89,93.14,87.55,0.69
NCMPI,32,128.0,128.0,4096.0,write,1634.68,2884.18,2228.03,3.07
NCMPI,32,128.0,128.0,4096.0,read,7784.96,28410.72,18853.27,57.95
MPIIO,8,256.0,2048.0,16384.0,write,20329.77,25086.47,24305.65,5.88
MPIIO,8,256.0,2048.0,16384.0,read,10858.13,11107.87,10973.91,0.29
Z5,64,32.0,128.0,8192.0,write,15725.83,22355.48,20268.16,62.48
Z5,64,32.0,128.0,8192.0,read,3644.53,5146.79,4613.55,12.86
HDF5,4,128.0,128.0,512.0,write,1065.38,3422.14,2859.5,5.55
HDF5,4,128.0,128.0,512.0,read,2342.38,4318.0,3537.94,5.24
POSIX,2,8.0,16.0,32.0,write,444.51,1187.26,816.3,30.63
POSIX,2,8.0,16.0,32.0,read,1297.01,3515.63,3073.57,82.89
NCMPI,16,256.0,2048.0,32768.0,write,7775.67,22500.73,14176.22,18.11
NCMPI,16,256.0,2048.0,32768.0,read,18119.95,36676.14,25215.1,27.04
NCMPI,1,8.0,8.0,8.0,write,133.9,371.52,263.95,9.19
NCMPI,1,8.0,8.0,8.0,read,4031.51,7434.5,6505.56,123.68
NCMPI,4,32.0,64.0,256.0,write,921.47,3540.15,1687.55,24.47
NCMPI,4,32.0,64.0,256.0,read,1760.79,9331.29,4738.3,65.79
Z5,1,128.0,128.0,128.0,write,286.8,565.95,519.77,0.73
Z5,1,128.0,128.0,128.0,read,83.75,90.87,89.81,0.02
POSIX,2,128.0,256.0,512.0,write,1057.06,5086.32,3667.05,10.96
POSIX,2,128.0,256.0,512.0,read,3452.98,6431.05,5822.41,6.97
NCMPI,8,256.0,1024.0,8192.0,write,6045.14,12441.82,8782.96,9.2
NCMPI,8,256.0,1024.0,8192.0,read,12828.4,18246.86,15336.45,6.27
Z5,2,64.0,64.0,128.0,write,694.16,990.04,908.33,1.18
Z5,2,64.0,64.0,128.0,read,163.43,172.91,169.11,0.05
NCMPI,8,16.0,128.0,1024.0,write,1359.73,4479.29,2584.38,63.25
NCMPI,8,16.0,128.0,1024.0,read,8745.95,19313.15,12813.39,212.48
MPIIO,2,32.0,64.0,128.0,write,454.58,5554.36,4821.2,45.9
MPIIO,2,32.0,64.0,128.0,read,1058.51,2599.49,1986.88,14.52
HDF5,4,64.0,64.0,256.0,write,830.39,2504.61,1751.52,9.26
HDF5,4,64.0,64.0,256.0,read,1354.75,3551.6,2944.38,9.8
POSIX,4,32.0,128.0,512.0,write,3581.56,6999.12,5638.2,38.91
POSIX,4,32.0,128.0,512.0,read,2923.41,11862.4,6977.79,110.42
MPIIO,16,128.0,256.0,4096.0,write,15581.18,45559.49,41305.04,68.09
MPIIO,16,128.0,256.0,4096.0,read,9052.49,22689.67,19105.33,35.09
Z5,16,8.0,16.0,256.0,write,55.57,5086.67,1506.24,235.11
Z5,16,8.0,16.0,256.0,read,744.25,1212.91,1040.24,17.84
MPIIO,1,256.0,512.0,512.0,write,2065.04,3179.92,3043.33,1.27
MPIIO,1,256.0,512.0,512.0,read,2347.52,3763.93,3474.63,1.97
MPIIO,2,256.0,1024.0,2048.0,write,5036.12,7670.09,7346.82,3.02
MPIIO,2,256.0,1024.0,2048.0,read,1635.03,2997.9,2850.38,1.59
NCMPI,8,32.0,128.0,1024.0,write,1200.35,5525.06,3247.16,39.98
NCMPI,8,32.0,128.0,1024.0,read,9107.84,16596.37,12108.4,76.53
MPIIO,1,16.0,32.0,32.0,write,2363.01,3304.02,3035.26,16.04
MPIIO,1,16.0,32.0,32.0,read,725.29,1340.74,1043.63,11.45
POSIX,8,32.0,64.0,512.0,write,1608.41,8217.91,4922.09,63.31
POSIX,8,32.0,64.0,512.0,read,4534.54,15816.12,10146.14,99.15
NCMPI,32,256.0,1024.0,32768.0,write,6919.73,19446.82,12132.66,13.09
NCMPI,32,256.0,1024.0,32768.0,read,21963.2,41992.19,28338.27,23.45
POSIX,1,128.0,512.0,512.0,write,1579.97,2704.29,2311.31,3.11
POSIX,1,128.0,512.0,512.0,read,3766.86,3780.06,3775.27,0.03
NCMPI,8,8.0,16.0,128.0,write,250.76,1903.1,773.58,57.95
NCMPI,8,8.0,16.0,128.0,read,504.12,11448.4,6426.17,498.08
POSIX,4,16.0,128.0,512.0,write,594.48,6393.11,4801.69,97.88
POSIX,4,16.0,128.0,512.0,read,5698.92,8726.87,6860.01,64.2
HDF5,4,256.0,1024.0,4096.0,write,1569.06,5000.98,4258.74,3.64
HDF5,4,256.0,1024.0,4096.0,read,3926.33,5229.04,4645.95,1.74
POSIX,16,64.0,512.0,8192.0,write,12009.01,31559.27,20017.43,126.49
POSIX,16,64.0,512.0,8192.0,read,35662.72,46643.61,41032.76,50.74
HDF5,64,64.0,128.0,8192.0,write,1154.63,9840.65,8219.85,38.65
HDF5,64,64.0,128.0,8192.0,read,10922.2,25814.08,21577.41,63.08
NCMPI,64,128.0,256.0,16384.0,write,3236.58,8068.89,5907.74,11.54
NCMPI,64,128.0,256.0,16384.0,read,12231.7,31082.77,21353.89,43.67
Z5,32,16.0,64.0,2048.0,write,5837.0,12438.55,9931.32,168.66
Z5,32,16.0,64.0,2048.0,read,1593.13,2301.13,1960.82,14.45
NCMPI,8,128.0,128.0,1024.0,write,1642.79,3306.29,2569.07,4.52
NCMPI,8,128.0,128.0,1024.0,read,5798.52,13781.51,8745.42,17.29
Z5,8,8.0,8.0,64.0,write,756.05,2107.02,1702.22,59.02
Z5,8,8.0,8.0,64.0,read,375.24,553.18,490.29,6.82
Z5,1,256.0,1024.0,1024.0,write,464.84,568.67,548.06,0.13
Z5,1,256.0,1024.0,1024.0,read,90.84,90.91,90.88,0.0
POSIX,1,64.0,128.0,128.0,write,448.96,1883.21,1433.38,7.3
POSIX,1,64.0,128.0,128.0,read,3733.68,3767.67,3756.22,0.15
MPIIO,64,256.0,2048.0,131072.0,write,131175.23,160542.82,144432.49,43.62
MPIIO,64,256.0,2048.0,131072.0,read,84052.69,85770.95,84881.74,2.41
Z5,64,16.0,128.0,8192.0,write,12368.59,18850.68,13637.42,117.17
Z5,64,16.0,128.0,8192.0,read,3990.79,4720.71,4338.5,14.54
NCMPI,2,256.0,2048.0,4096.0,write,4761.63,6473.62,6059.63,2.14
NCMPI,2,256.0,2048.0,4096.0,read,4569.45,6097.96,5663.81,1.96
Z5,8,16.0,16.0,128.0,write,1467.06,2804.42,2409.19,27.86
Z5,8,16.0,16.0,128.0,read,296.56,607.86,535.8,6.29
NCMPI,2,64.0,512.0,1024.0,write,2497.18,5872.87,4287.78,18.17
NCMPI,2,64.0,512.0,1024.0,read,3739.62,6383.26,5108.1,12.98
NCMPI,1,64.0,256.0,256.0,write,989.69,2477.86,2040.83,6.26
NCMPI,1,64.0,256.0,256.0,read,2309.4,3739.45,3348.52,8.63
NCMPI,32,32.0,32.0,1024.0,write,620.16,1548.76,903.01,8.77
NCMPI,32,32.0,32.0,1024.0,read,7422.27,22442.39,15852.03,164.4
MPIIO,4,64.0,512.0,2048.0,write,12251.83,12441.11,12365.82,0.9
MPIIO,4,64.0,512.0,2048.0,read,5504.74,5821.21,5779.04,1.43
NCMPI,16,32.0,64.0,1024.0,write,738.64,3253.56,1695.22,21.58
NCMPI,16,32.0,64.0,1024.0,read,3888.48,12472.99,7072.33,94.48
Z5,1,64.0,256.0,256.0,write,509.86,566.19,554.39,0.32
Z5,1,64.0,256.0,256.0,read,90.75,90.81,90.78,0.0
MPIIO,1,256.0,2048.0,2048.0,write,2393.91,3191.16,3044.84,1.06
MPIIO,1,256.0,2048.0,2048.0,read,2782.9,3770.58,3670.63,1.16
NCMPI,8,16.0,16.0,128.0,write,409.22,2212.51,931.9,34.56
NCMPI,8,16.0,16.0,128.0,read,1407.21,6353.24,3960.71,104.96
POSIX,8,256.0,256.0,2048.0,write,6336.76,15396.12,10554.4,13.42
POSIX,8,256.0,256.0,2048.0,read,13121.78,19853.85,17473.56,8.72
MPIIO,16,128.0,1024.0,16384.0,write,30752.38,49438.62,47217.59,42.94
MPIIO,16,128.0,1024.0,16384.0,read,20719.93,22744.07,21967.23,4.54
Z5,2,64.0,512.0,1024.0,write,600.19,1107.45,1002.94,2.24
Z5,2,64.0,512.0,1024.0,read,161.97,172.86,168.79,0.05
HDF5,4,64.0,512.0,2048.0,write,1135.73,4664.31,3998.87,15.28
HDF5,4,64.0,512.0,2048.0,read,2923.21,5087.06,4135.58,11.76
POSIX,2,128.0,1024.0,2048.0,write,4361.18,7086.7,6066.59,7.45
POSIX,2,128.0,1024.0,2048.0,read,6528.31,7516.8,7153.33,2.68
POSIX,32,8.0,64.0,2048.0,write,8458.56,21849.63,15492.77,459.53
POSIX,32,8.0,64.0,2048.0,read,14244.22,29916.13,21087.47,493.57
NCMPI,4,8.0,64.0,256.0,write,439.54,2192.49,905.84,60.04
NCMPI,4,8.0,64.0,256.0,read,1917.43,7208.39,4233.98,188.79
NCMPI,16,256.0,512.0,8192.0,write,4638.0,9116.61,6668.37,5.75
NCMPI,16,256.0,512.0,8192.0,read,15549.56,24146.69,20874.16,9.54
MPIIO,8,256.0,512.0,4096.0,write,22488.21,23585.99,23016.56,1.5
MPIIO,8,256.0,512.0,4096.0,read,6008.22,10860.32,9829.22,5.31
POSIX,32,8.0,32.0,1024.0,write,4929.14,12925.97,9630.22,309.71
POSIX,32,8.0,32.0,1024.0,read,10090.39,19488.95,14576.6,411.89
Z5,16,32.0,64.0,1024.0,write,4338.77,7549.94,6664.52,38.52
Z5,16,32.0,64.0,1024.0,read,1124.47,1357.92,1269.45,1.96
Z5,32,32.0,32.0,1024.0,write,4010.49,5152.46,4502.87,9.74
Z5,32,32.0,32.0,1024.0,read,2117.65,2769.82,2537.5,6.3
MPIIO,32,64.0,256.0,8192.0,write,58546.07,87211.15,80941.16,132.03
MPIIO,32,64.0,256.0,8192.0,read,17743.5,41820.17,35620.19,128.35
NCMPI,64,16.0,128.0,8192.0,write,2035.38,5737.11,3260.25,63.55
NCMPI,64,16.0,128.0,8192.0,read,15987.31,43352.48,34072.58,507.32
Z5,2,256.0,2048.0,4096.0,write,1069.19,1159.89,1139.35,0.12
Z5,2,256.0,2048.0,4096.0,read,171.59,179.26,177.79,0.01
NCMPI,4,8.0,32.0,128.0,write,312.64,1748.74,912.28,55.73
NCMPI,4,8.0,32.0,128.0,read,678.27,8896.72,4709.13,331.13
MPIIO,64,64.0,512.0,32768.0,write,73056.44,165645.05,138552.33,412.48
MPIIO,64,64.0,512.0,32768.0,read,57026.42,87015.29,75096.6,181.01
NCMPI,32,16.0,64.0,2048.0,write,631.43,3540.18,1692.25,53.86
NCMPI,32,16.0,64.0,2048.0,read,5776.01,31329.71,13591.54,526.24
NCMPI,1,256.0,1024.0,1024.0,write,1855.96,2919.1,2680.9,1.25
NCMPI,1,256.0,1024.0,1024.0,read,3745.72,3754.29,3750.75,0.01
Z5,8,128.0,128.0,1024.0,write,2254.87,4212.99,3537.78,5.76
Z5,8,128.0,128.0,1024.0,read,629.26,719.45,700.32,0.21
Z5,8,32.0,128.0,1024.0,write,3288.86,3962.63,3661.82,6.31
Z5,8,32.0,128.0,1024.0,read,661.23,695.13,677.45,0.37
MPIIO,32,256.0,256.0,8192.0,write,33642.19,83481.48,74674.68,57.12
MPIIO,32,256.0,256.0,8192.0,read,14065.58,41293.93,32142.88,40.59
HDF5,1,16.0,32.0,32.0,write,1851.66,2031.83,1954.44,3.01
HDF5,1,16.0,32.0,32.0,read,374.45,972.04,778.25,12.01
NCMPI,8,16.0,64.0,512.0,write,935.76,5532.34,2220.09,94.8
NCMPI,8,16.0,64.0,512.0,read,2682.56,13161.66,6207.13,182.21
MPIIO,1,32.0,64.0,64.0,write,2878.51,3259.19,3197.48,3.4
MPIIO,1,32.0,64.0,64.0,read,1068.27,2274.64,1676.91,10.55
Z5,32,256.0,256.0,8192.0,write,8357.93,12587.35,11086.45,4.3
Z5,32,256.0,256.0,8192.0,read,2703.9,2763.28,2731.65,0.07
Z5,1,64.0,64.0,64.0,write,382.19,572.16,550.17,0.88
Z5,1,64.0,64.0,64.0,read,62.79,91.34,87.37,0.13
HDF5,16,128.0,128.0,2048.0,write,857.06,8263.76,6011.61,16.76
HDF5,16,128.0,128.0,2048.0,read,6760.01,13552.42,10602.37,15.99
POSIX,8,16.0,32.0,256.0,write,1156.81,4872.68,3508.95,68.15
POSIX,8,16.0,32.0,256.0,read,3678.23,12203.34,9427.5,177.26
NCMPI,4,128.0,512.0,2048.0,write,3034.21,8797.8,5909.88,14.02
NCMPI,4,128.0,512.0,2048.0,read,4786.45,10712.97,7314.05,12.71
POSIX,4,32.0,256.0,1024.0,write,2084.06,8623.85,6355.34,63.01
POSIX,4,32.0,256.0,1024.0,read,7967.96,11476.75,9824.28,42.57
Z5,8,8.0,32.0,256.0,write,2077.09,2896.18,2588.98,35.71
Z5,8,8.0,32.0,256.0,read,495.17,655.13,623.45,5.99
HDF5,8,256.0,256.0,2048.0,write,1184.61,7051.73,5410.16,7.16
HDF5,8,256.0,256.0,2048.0,read,6432.26,7600.78,6889.89,1.2
MPIIO,32,64.0,64.0,2048.0,write,50565.53,57865.51,53806.7,40.65
MPIIO,32,64.0,64.0,2048.0,read,7517.21,29460.61,21986.48,96.77
Z5,32,8.0,16.0,512.0,write,1828.71,3388.14,2536.31,51.82
Z5,32,8.0,16.0,512.0,read,1180.25,2298.14,1960.28,54.07
MPIIO,16,64.0,128.0,2048.0,write,36416.93,40960.52,39692.2,20.54
MPIIO,16,64.0,128.0,2048.0,read,6699.76,20384.34,17267.92,59.78
MPIIO,4,128.0,1024.0,4096.0,write,9748.61,12629.12,12016.76,7.81
MPIIO,4,128.0,1024.0,4096.0,read,5664.23,5822.77,5800.71,0.36
HDF5,32,256.0,2048.0,65536.0,write,1148.07,19940.08,16905.77,20.98
HDF5,32,256.0,2048.0,65536.0,read,29702.25,34340.69,32254.25,5.28
Z5,32,32.0,128.0,4096.0,write,9435.03,10561.75,9798.77,10.62
Z5,32,32.0,128.0,4096.0,read,2573.85,2699.09,2640.29,1.47
Z5,8,8.0,64.0,512.0,write,982.21,3162.23,2582.04,75.39
Z5,8,8.0,64.0,512.0,read,297.87,634.87,552.51,11.53
Z5,8,32.0,32.0,256.0,write,1179.28,3478.37,2781.8,22.92
Z5,8,32.0,32.0,256.0,read,215.74,653.64,555.84,3.92
HDF5,2,8.0,16.0,32.0,write,241.27,595.45,401.7,14.01
HDF5,2,8.0,16.0,32.0,read,775.68,1856.28,1592.48,39.21
POSIX,16,256.0,512.0,8192.0,write,21808.67,39633.56,33343.41,23.44
POSIX,16,256.0,512.0,8192.0,read,35822.56,38738.34,36974.93,3.56
Z5,64,32.0,256.0,16384.0,write,13014.02,23286.39,17958.97,82.35
Z5,64,32.0,256.0,16384.0,read,3228.23,4608.31,4067.11,13.56
MPIIO,8,64.0,128.0,1024.0,write,8316.91,21260.7,19516.27,58.45
MPIIO,8,64.0,128.0,1024.0,read,3974.16,10629.52,8231.36,31.48
NCMPI,16,16.0,32.0,512.0,write,454.52,1775.86,919.16,27.14
NCMPI,16,16.0,32.0,512.0,read,2213.64,8311.38,4929.58,104.68
Z5,16,128.0,1024.0,16384.0,write,7553.82,8572.58,8170.74,2.79
Z5,16,128.0,1024.0,16384.0,read,1269.98,1377.32,1335.2,0.32
HDF5,2,128.0,1024.0,2048.0,write,1229.46,3210.96,2933.31,4.46
HDF5,2,128.0,1024.0,2048.0,read,2538.26,2752.39,2665.49,0.53
NCMPI,32,16.0,16.0,512.0,write,326.95,796.39,496.93,7.78
NCMPI,32,16.0,16.0,512.0,read,1737.42,17024.21,8374.59,328.56
Z5,64,256.0,2048.0,131072.0,write,29121.45,32269.09,30761.35,3.41
Z5,64,256.0,2048.0,131072.0,read,5147.87,5389.51,5293.57,0.32
HDF5,8,64.0,128.0,1024.0,write,1319.93,4942.27,2783.72,14.13
HDF5,8,64.0,128.0,1024.0,read,1977.1,4625.28,3205.12,16.3
POSIX,64,64.0,128.0,8192.0,write,16342.96,44568.44,29639.31,161.9
POSIX,64,64.0,128.0,8192.0,read,48665.07,66127.87,55004.44,71.35
POSIX,64,128.0,256.0,16384.0,write,19147.05,60734.94,43455.92,92.56
POSIX,64,128.0,256.0,16384.0,read,77574.29,90763.78,82227.24,29.17
Z5,4,128.0,512.0,2048.0,write,1822.85,2192.72,2135.71,0.83
Z5,4,128.0,512.0,2048.0,read,335.21,354.15,349.28,0.04
NCMPI,8,32.0,32.0,256.0,write,568.19,2005.93,1257.64,13.89
NCMPI,8,32.0,32.0,256.0,read,919.18,8406.36,4523.91,82.98
POSIX,32,8.0,8.0,256.0,write,1375.1,4650.57,3556.03,104.11
POSIX,32,8.0,8.0,256.0,read,655.92,15541.1,4277.57,484.5
NCMPI,32,8.0,16.0,512.0,write,212.98,642.08,417.96,13.16
NCMPI,32,8.0,16.0,512.0,read,1428.83,9868.66,2944.37,293.84
NCMPI,4,8.0,8.0,32.0,write,177.18,584.96,297.19,13.55
NCMPI,4,8.0,8.0,32.0,read,850.68,5225.29,2946.17,146.01
Z5,32,16.0,16.0,512.0,write,2500.06,2963.79,2730.86,10.36
Z5,32,16.0,16.0,512.0,read,1649.67,2641.38,2294.77,17.37
Z5,16,16.0,32.0,512.0,write,2551.54,6485.56,5028.78,98.52
Z5,16,16.0,32.0,512.0,read,970.81,1265.39,1163.03,6.08
NCMPI,64,32.0,256.0,16384.0,write,2884.03,10081.28,6048.76,81.09
NCMPI,64,32.0,256.0,16384.0,read,21673.65,47088.96,35414.77,290.8
HDF5,64,256.0,256.0,16384.0,write,1222.82,14212.9,10727.31,14.28
HDF5,64,256.0,256.0,16384.0,read,21148.57,33037.36,27894.09,16.92
Z5,4,8.0,16.0,64.0,write,876.21,1288.0,1133.76,15.66
Z5,4,8.0,16.0,64.0,read,272.26,330.3,300.32,2.52
NCMPI,1,64.0,64.0,64.0,write,457.76,1514.54,1201.17,4.72
NCMPI,1,64.0,64.0,64.0,read,183.45,2419.96,1519.35,8.98
NCMPI,32,32.0,128.0,4096.0,write,2320.31,5739.65,3814.99,39.6
NCMPI,32,32.0,128.0,4096.0,read,18204.81,30195.08,23838.08,122.88
HDF5,16,64.0,512.0,8192.0,write,1159.74,13490.23,10206.12,55.76
HDF5,16,64.0,512.0,8192.0,read,9894.39,17245.65,15155.13,33.94
POSIX,4,256.0,1024.0,4096.0,write,5255.41,11482.83,9249.28,7.95
POSIX,4,256.0,1024.0,4096.0,read,12732.29,13481.85,13196.83,0.96
HDF5,1,32.0,64.0,64.0,write,235.13,1999.23,1787.58,16.19
HDF5,1,32.0,64.0,64.0,read,499.34,628.14,580.54,1.14
HDF5,1,128.0,512.0,512.0,write,2123.79,2152.99,2140.14,0.07
HDF5,1,128.0,512.0,512.0,read,142.48,146.16,145.77,0.01
Z5,8,16.0,64.0,512.0,write,1373.52,3574.1,3152.88,39.26
Z5,8,16.0,64.0,512.0,read,580.18,680.58,645.41,1.87
POSIX,32,256.0,1024.0,32768.0,write,41342.02,76810.53,66123.01,46.19
POSIX,32,256.0,1024.0,32768.0,read,80722.58,93433.94,85503.74,12.7
MPIIO,32,64.0,512.0,16384.0,write,53902.55,92560.66,84011.72,178.22
MPIIO,32,64.0,512.0,16384.0,read,27185.43,42211.74,37712.09,75.25
Z5,16,128.0,256.0,4096.0,write,5348.07,7728.89,7033.5,6.3
Z5,16,128.0,256.0,4096.0,read,1359.71,1414.37,1381.53,0.12
HDF5,2,128.0,256.0,512.0,write,1143.27,2621.64,2213.17,3.68
HDF5,2,128.0,256.0,512.0,read,1349.52,2625.34,2031.83,3.42
NCMPI,64,16.0,64.0,4096.0,write,1041.33,3794.1,2186.47,54.9
NCMPI,64,16.0,64.0,4096.0,read,9414.42,40290.09,25114.97,658.25
Z5,4,256.0,256.0,1024.0,write,1443.56,2245.72,2156.3,0.93
Z5,4,256.0,256.0,1024.0,read,345.16,359.18,356.67,0.02
POSIX,16,256.0,2048.0,32768.0,write,13820.33,45477.34,31473.46,42.16
POSIX,16,256.0,2048.0,32768.0,read,43689.25,52235.77,48568.33,9.86
POSIX,16,8.0,64.0,1024.0,write,9518.28,12493.37,10848.84,113.75
POSIX,16,8.0,64.0,1024.0,read,12042.2,21811.37,17168.54,414.58
Z5,8,32.0,256.0,2048.0,write,2825.17,3814.91,3656.92,8.88
Z5,8,32.0,256.0,2048.0,read,652.11,687.65,660.52,0.32
Z5,64,32.0,32.0,2048.0,write,5273.73,25243.3,19399.81,266.69
Z5,64,32.0,32.0,2048.0,read,2545.29,5398.5,3971.17,32.47
MPIIO,64,64.0,256.0,16384.0,write,60637.49,155598.24,124073.63,405.41
MPIIO,64,64.0,256.0,16384.0,read,37623.65,83007.35,61830.99,254.63
MPIIO,2,8.0,8.0,16.0,write,1147.76,1884.98,1676.07,29.53
MPIIO,2,8.0,8.0,16.0,read,53.93,571.38,382.95,19.88
HDF5,2,16.0,32.0,64.0,write,478.7,1420.6,989.87,19.83
HDF5,2,16.0,32.0,64.0,read,1190.14,1817.38,1688.26,11.48
NCMPI,32,16.0,128.0,4096.0,write,1410.24,5538.84,2432.46,73.54
NCMPI,32,16.0,128.0,4096.0,read,24576.55,43930.5,34972.67,336.89
MPIIO,4,128.0,256.0,1024.0,write,11425.04,12012.28,11799.41,1.45
MPIIO,4,128.0,256.0,1024.0,read,4421.33,5794.78,5534.46,3.41
Z5,4,16.0,32.0,128.0,write,1174.93,1596.8,1459.53,7.67
Z5,4,16.0,32.0,128.0,read,289.53,335.42,315.63,0.88
HDF5,32,256.0,512.0,16384.0,write,1148.58,15982.69,13248.95,16.69
HDF5,32,256.0,512.0,16384.0,read,14206.13,29788.13,27166.75,17.2
NCMPI,64,8.0,16.0,1024.0,write,352.04,1646.3,822.18,46.29
NCMPI,64,8.0,16.0,1024.0,read,1459.6,8645.77,3931.59,284.66
Z5,2,64.0,256.0,512.0,write,767.78,1094.49,1043.92,1.52
Z5,2,64.0,256.0,512.0,read,175.68,178.53,176.62,0.01
HDF5,4,64.0,256.0,1024.0,write,1513.26,4212.97,3279.32,14.67
HDF5,4,64.0,256.0,1024.0,read,3812.32,4630.98,4312.13,3.92
HDF5,64,128.0,512.0,32768.0,write,1197.39,16222.2,12544.06,30.8
HDF5,64,128.0,512.0,32768.0,read,27965.12,38061.49,34078.14,24.33
POSIX,64,8.0,8.0,512.0,write,1400.16,5041.42,3602.34,152.38
POSIX,64,8.0,8.0,512.0,read,2889.82,6570.92,4112.05,123.8
Z5,1,64.0,512.0,512.0,write,535.65,565.9,559.79,0.15
Z5,1,64.0,512.0,512.0,read,90.72,90.8,90.76,0.0
POSIX,4,128.0,128.0,512.0,write,1884.96,6083.98,3936.14,12.74
POSIX,4,128.0,128.0,512.0,read,6503.8,9783.68,8516.29,8.67
POSIX,16,8.0,32.0,512.0,write,862.71,9536.42,6318.86,319.41
POSIX,16,8.0,32.0,512.0,read,3148.24,17579.51,13309.04,665.78
POSIX,4,32.0,32.0,128.0,write,596.69,2621.38,1540.4,19.02
POSIX,4,32.0,32.0,128.0,read,2066.21,6855.67,5480.25,52.81
POSIX,32,128.0,128.0,4096.0,write,9744.2,30099.96,23748.43,49.49
POSIX,32,128.0,128.0,4096.0,read,26109.38,44376.16,35429.13,45.51
HDF5,1,256.0,256.0,256.0,write,2102.89,2227.43,2198.05,0.14
HDF5,1,256.0,256.0,256.0,read,70.09,73.9,73.15,0.01
Z5,32,16.0,128.0,4096.0,write,7934.44,9888.14,8948.24,32.01
Z5,32,16.0,128.0,4096.0,read,2172.4,2497.31,2343.39,6.2
POSIX,2,64.0,128.0,256.0,write,2204.59,3570.44,3281.09,5.91
POSIX,2,64.0,128.0,256.0,read,2355.84,5891.2,4684.39,18.74
NCMPI,64,32.0,32.0,2048.0,write,1061.78,2143.21,1571.39,11.14
NCMPI,64,32.0,32.0,2048.0,read,2252.54,4443.69,3087.74,21.9
Z5,32,128.0,512.0,16384.0,write,12691.81,15023.92,14405.42,5.15
Z5,32,128.0,512.0,16384.0,read,2580.43,2797.45,2738.53,0.61
NCMPI,1,64.0,512.0,512.0,write,1942.27,2733.14,2551.95,3.71
NCMPI,1,64.0,512.0,512.0,read,1526.78,3748.7,3461.31,10.45
HDF5,16,256.0,1024.0,16384.0,write,1273.91,16159.96,13427.08,16.44
HDF5,16,256.0,1024.0,16384.0,read,13967.02,18224.66,16770.06,4.55
HDF5,32,64.0,128.0,4096.0,write,1002.39,9848.56,8511.37,39.63
HDF5,32,64.0,128.0,4096.0,read,10168.77,20739.11,18378.76,49.63
NCMPI,4,256.0,256.0,1024.0,write,2076.51,3470.81,2860.16,1.54
NCMPI,4,256.0,256.0,1024.0,read,3693.27,9774.69,7609.23,6.99
MPIIO,4,64.0,256.0,1024.0,write,11596.59,12077.95,11834.71,2.1
MPIIO,4,64.0,256.0,1024.0,read,3033.14,5791.48,5077.71,14.48
HDF5,16,64.0,64.0,1024.0,write,583.56,5925.86,3980.26,24.91
HDF5,16,64.0,64.0,1024.0,read,4018.2,11907.5,7430.72,40.41
NCMPI,1,8.0,32.0,32.0,write,516.91,1964.34,973.81,63.54
NCMPI,1,8.0,32.0,32.0,read,379.73,1333.66,861.82,39.31
Z5,64,16.0,64.0,4096.0,write,12124.93,23343.19,19050.92,243.84
Z5,64,16.0,64.0,4096.0,read,3695.04,4564.5,4049.79,15.89
Z5,64,8.0,16.0,1024.0,write,3189.42,17649.34,10943.88,739.18
Z5,64,8.0,16.0,1024.0,read,3139.88,3750.77,3422.35,27.09
NCMPI,2,64.0,256.0,512.0,write,2593.52,5047.53,3717.72,12.27
NCMPI,2,64.0,256.0,512.0,read,3683.37,7229.32,5409.57,21.53
NCMPI,1,8.0,64.0,64.0,write,773.05,1524.84,1184.92,27.65
