api,nranks,xfersize[MiB],blocksize[MiB],totalsize[MiB],operation,min[MiB/sec],max[MiB/sec],mean[MiB/sec],std[MiB/sec]
MPIIO,1,128.0,128.0,128.0,read,662.15,2832.12,1503.03,5.35
MPIIO,16,8.0,8.0,128.0,write,9759.33,12243.35,10861.67,107.6
MPIIO,16,8.0,8.0,128.0,read,2695.29,8352.85,6189.48,238.91
NCMPI,64,128.0,512.0,32768.0,write,5131.06,12396.52,8163.03,15.77
NCMPI,64,128.0,512.0,32768.0,read,34888.46,47727.45,40656.28,34.6
HDF5,1,8.0,64.0,64.0,write,2152.28,2222.91,2186.6,3.06
HDF5,1,8.0,64.0,64.0,read,861.43,2290.22,1665.15,52.16
POSIX,2,256.0,256.0,512.0,write,1780.6,5066.65,3812.4,3.79
POSIX,2,256.0,256.0,512.0,read,4971.26,6263.51,5956.45,1.32
Z5,1,256.0,512.0,512.0,write,462.38,569.88,549.97,0.14
Z5,1,256.0,512.0,512.0,read,90.76,90.9,90.85,0.0
POSIX,4,64.0,64.0,256.0,write,2278.51,4614.69,3376.93,9.39
POSIX,4,64.0,64.0,256.0,read,5187.16,8368.23,6843.99,19.44
POSIX,16,16.0,16.0,256.0,write,2246.56,5180.32,3804.14,53.52
POSIX,16,16.0,16.0,256.0,read,2354.85,9667.32,5615.98,145.85
MPIIO,64,8.0,32.0,2048.0,write,36758.2,76436.51,63157.77,1256.53
MPIIO,64,8.0,32.0,2048.0,read,9817.82,45634.2,21524.53,1368.46
POSIX,32,16.0,32.0,1024.0,write,5645.24,14000.13,9869.74,180.25
POSIX,32,16.0,32.0,1024.0,read,8071.26,16716.09,11061.33,144.27
NCMPI,8,256.0,2048.0,16384.0,write,5924.9,16540.88,9354.23,13.4
NCMPI,8,256.0,2048.0,16384.0,read,14099.7,21080.18,17558.57,9.87
NCMPI,64,64.0,64.0,4096.0,write,1626.96,3538.8,2486.49,10.58
NCMPI,64,64.0,64.0,4096.0,read,4014.59,6981.46,5374.26,14.58
POSIX,2,32.0,64.0,128.0,write,1335.45,5100.29,2883.31,36.54
POSIX,2,32.0,64.0,128.0,read,2714.92,5748.15,5208.02,29.56
NCMPI,16,256.0,1024.0,16384.0,write,6826.49,14749.99,10329.96,9.88
NCMPI,16,256.0,1024.0,16384.0,read,16984.25,28026.06,23189.49,13.87
HDF5,64,8.0,32.0,2048.0,write,927.17,3848.39,2891.72,93.53
HDF5,64,8.0,32.0,2048.0,read,9865.68,16354.81,13093.14,338.79
HDF5,32,32.0,64.0,2048.0,write,717.92,6506.34,5389.82,53.11
HDF5,32,32.0,64.0,2048.0,read,6870.88,18154.18,14002.08,116.74
NCMPI,1,32.0,256.0,256.0,write,2063.85,2508.93,2323.96,4.75
NCMPI,1,32.0,256.0,256.0,read,1992.54,4047.47,3369.73,25.9
HDF5,16,32.0,32.0,512.0,write,683.13,3197.21,2382.72,24.25
HDF5,16,32.0,32.0,512.0,read,2553.79,9462.92,6197.4,73.06
MPIIO,64,16.0,16.0,1024.0,write,22994.61,58849.94,43442.17,708.91
MPIIO,64,16.0,16.0,1024.0,read,5507.96,73036.04,16117.58,1197.47
MPIIO,8,8.0,32.0,256.0,write,1736.12,14770.99,12910.97,474.09
MPIIO,8,8.0,32.0,256.0,read,2315.28,6387.58,5069.31,136.55
POSIX,4,8.0,32.0,128.0,write,1911.63,3159.35,2508.61,48.31
